2026-01-27 23:29:40,812 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '2', 'loss:', '0.0011504410456714294')
2026-01-27 23:30:10,614 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '3', 'loss:', '0.0010704590457954622')
2026-01-27 23:30:38,679 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '4', 'loss:', '0.0010650933858659902')
2026-01-27 23:31:18,015 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '5', 'loss:', '0.0010586404912808147')
2026-01-27 23:31:45,847 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '6', 'loss:', '0.0010573641133652947')
2026-01-27 23:32:13,229 - /workdir/AnoFusion/utils/main.py[line:367] - INFO: ('epoch:', '7', 'loss:', '0.0010560388213940479')
2026-01-28 01:36:01,251 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '0', 'loss:', '0.00308077117059317')
2026-01-28 01:36:40,099 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '1', 'loss:', '0.001560603959088245')
2026-01-28 01:37:07,783 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '2', 'loss:', '0.0012573966837561366')
2026-01-28 01:37:35,082 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '3', 'loss:', '0.0012012027297070868')
2026-01-28 01:38:01,718 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '4', 'loss:', '0.0011549187728316325')
2026-01-28 01:38:28,955 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '5', 'loss:', '0.001136077921759086')
2026-01-28 01:38:56,448 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '6', 'loss:', '0.0011310248524199105')
2026-01-28 01:39:23,525 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '7', 'loss:', '0.0011175976670641462')
2026-01-28 01:39:56,567 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '8', 'loss:', '0.0011043159009593152')
2026-01-28 01:40:24,777 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '9', 'loss:', '0.0011027644981409087')
2026-01-29 00:38:19,975 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '0', 'loss:', '0.0032296726111259856')
2026-01-29 00:38:46,194 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '1', 'loss:', '0.0017070445517245471')
2026-01-29 00:39:12,991 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '2', 'loss:', '0.0011819535450260364')
2026-01-29 00:39:40,006 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '3', 'loss:', '0.001085002661527009')
2026-01-29 00:40:08,418 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '4', 'loss:', '0.0010627144335323077')
2026-01-29 00:40:35,283 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '5', 'loss:', '0.0010564903880886764')
2026-01-29 00:41:01,265 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '6', 'loss:', '0.0010454345338688797')
2026-01-29 00:41:26,960 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '7', 'loss:', '0.0010582956231527522')
2026-01-29 00:41:52,690 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '8', 'loss:', '0.0010577527508747848')
2026-01-29 00:42:20,493 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '9', 'loss:', '0.001050619205660736')
2026-01-29 04:27:12,860 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '0', 'loss:', '0.04019720396916435')
2026-01-29 04:27:43,139 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '1', 'loss:', '0.0023297755511378178')
2026-01-29 04:28:17,001 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '2', 'loss:', '0.001349247839979388')
2026-01-29 04:28:46,016 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '3', 'loss:', '0.0012766013631212599')
2026-01-29 04:29:16,340 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '4', 'loss:', '0.0012337882124872491')
2026-01-29 04:29:45,385 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '5', 'loss:', '0.0012048234624508244')
2026-01-29 04:30:16,450 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '6', 'loss:', '0.0011743749490235357')
2026-01-29 04:30:46,109 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '7', 'loss:', '0.0011433315680988835')
2026-01-29 04:31:14,624 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '8', 'loss:', '0.0011431667893232903')
2026-01-29 04:31:43,301 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '9', 'loss:', '0.0011218018308896676')
2026-01-29 04:32:12,142 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '10', 'loss:', '0.0011054253629297593')
2026-01-29 04:32:42,525 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '11', 'loss:', '0.001106590823531334')
2026-01-29 04:33:20,355 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '12', 'loss:', '0.0010965128081459605')
2026-01-29 04:33:53,460 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '13', 'loss:', '0.0010892229494468696')
2026-01-29 04:34:21,662 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '14', 'loss:', '0.0010805758454685173')
2026-01-29 23:54:27,153 - /workdir/AnoFusion/utils/main.py[line:368] - INFO: ('epoch:', '0', 'loss:', '0.005541500500290748')
